Input Compound Name,Matched Compound Name,Matched COMPOUND_ID,Source
s-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,17388,ChEBI
spermidine,Spermidine,16610,KEGG COMPOUND
1-methylnicotinamide,1-Methylnicotinamide,16797,KEGG COMPOUND
5-hydroxyindoleacetate,5-hydroxyindoleacetate(1-),62622,SUBMITTER
alpha-ketoglutarate,alpha-ketoglutarate,16810,ChEBI
kynurenate,Kynurenate,18344,KEGG COMPOUND
3-hydroxyisobutyrate,3-Hydroxyisobutyrate,11805,KEGG COMPOUND
3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,17325,UniProt
3-phosphoglycerate,3-Phosphoglycerate,17050,KEGG COMPOUND
cholate,cholate,29747,UniProt
4-hydroxyphenylacetate,4-Hydroxyphenylacetate,18101,KEGG COMPOUND
"5,6-dihydrothymine","5,6-Dihydrothymine",27468,KEGG COMPOUND
hypoxanthine,Hypoxanthine,17368,KEGG COMPOUND
linoleate (18:2n6),"6,9-linoleate",78705,MetaCyc
quinolinate,quinolinate,29959,ChEBI
"n6,n6,n6-trimethyllysine",N-TRIMETHYLLYSINE,17311,PDBeChem
n-acetylputrescine,N-Acetylputrescine,17768,KEGG COMPOUND
n-formylmethionine,N-formylmethionine,16552,ChemIDplus
s-adenosylhomocysteine (sah),S-Adenosylhomocysteine,16680,KEGG COMPOUND
"adenosine 3',5'-cyclic monophosphate (camp)","adenosine 3',5'-cyclic monophosphate",58165,ChEBI
adenosine 5'-monophosphate (amp),Adenosine 5'-monophosphate,16027,KEGG COMPOUND
5-methylthioadenosine (mta),5-Methylthioadenosine,17509,KEGG COMPOUND
arginine,Arginine,29016,KEGG COMPOUND
aspartate,aspartate,72314,ChEBI
2-hydroxyphenylacetate,2-hydroxyphenylacetate,62423,ChEBI
3-(4-hydroxyphenyl)lactate,3-(4-Hydroxyphenyl)lactate,36659,KEGG COMPOUND
phenylpyruvate,Phenylpyruvate,30851,KEGG COMPOUND
beta-alanine,beta-Alanine,16958,KEGG COMPOUND
carnosine,Carnosine,15727,KEGG COMPOUND
biliverdin,Biliverdin,17033,KEGG COMPOUND
succinate,succinate,30031,UniProt
cholesterol,Cholesterol,16113,KEGG COMPOUND
choline phosphate,Choline phosphate,18132,KEGG COMPOUND
corticosterone,Corticosterone,16827,KEGG COMPOUND
cortisone,Cortisone,16962,KEGG COMPOUND
creatinine,Creatinine,16737,KEGG COMPOUND
cysteinylglycine,Cysteinylglycine,4047,ChemIDplus
