,Threshold,Input Compound Name,Matched Compound Name,Matched COMPOUND_ID,Matched Score,In Debug CSV
0,0.0,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,17388,1.0,Yes
1,0.0,spermidine,spermidine,57834,1.0,Yes
2,0.0,1-methylnicotinamide,1-methylnicotinamide,16797,1.0,Yes
3,0.0,"12,13-DiHOME","9,12,13-TriHOME",34506,0.71483636,No
4,0.0,5-hydroxyindoleacetate,5-hydroxyindoleacetate(1-),62622,0.91183215,No
5,0.0,alpha-ketoglutarate,alpha-ketoglutarate,16810,1.0,Yes
6,0.0,kynurenate,Kynurenate,18344,1.0,Yes
7,0.0,3-hydroxyisobutyrate,3-Hydroxyisobutyrate,11805,1.0,Yes
8,0.0,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,17325,1.0,No
9,0.0,homovanillate (HVA),Homovanillic acid,545959,0.6208689,Yes
10,0.0,3-phosphoglycerate,3-phosphoglycerate,57998,1.0,No
11,0.0,cholate,cholate,29747,1.0,Yes
12,0.0,4-hydroxyphenylacetate,4-hydroxyphenylacetate,48999,1.0,No
13,0.0,"5,6-dihydrothymine","5,6-Dihydrothymine",27468,1.0,Yes
14,0.0,hypoxanthine,hypoxanthine,17368,1.0,Yes
15,0.0,"9,10-DiHOME","9,10,13-TriHOME",34499,0.66232044,No
16,0.0,linoleate (18:2n6),"6,9-linoleate",78705,0.75028753,No
17,0.0,laurate (12:0),laurate,18262,0.63099605,No
18,0.0,quinolinate,quinolinate,29959,1.0,Yes
19,0.0,"N6,N6,N6-trimethyllysine",N-TRIMETHYLLYSINE,17311,0.7983497,No
20,0.0,N-acetylputrescine,N-acetylputrescine,58263,1.0,No
21,0.0,N-formylmethionine,N-formylmethionine,16552,1.0,No
22,0.0,S-adenosylhomocysteine (SAH),S-Adenosylhomocysteine,16680,0.8327262,No
23,0.0,"adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate",17489,0.7986295,No
24,0.0,adenosine 5'-monophosphate (AMP),Adenosine 5'-monophosphate,16027,0.81518,No
25,0.0,5-methylthioadenosine (MTA),5-Methylthioadenosine,17509,0.8110886,Yes
26,0.0,arachidonate (20:4n6),Arachidonate,15843,0.73198056,No
27,0.0,arginine,arginine,29016,1.0,No
28,0.0,aspartate,aspartate,29995,1.0,No
29,0.0,2-hydroxyphenylacetate,2-hydroxyphenylacetate,62423,1.0,No
30,0.0,3-(4-hydroxyphenyl)lactate,3-(4-Hydroxyphenyl)lactate,36659,1.0,No
31,0.0,phenylpyruvate,Phenylpyruvate,30851,1.0,No
32,0.0,beta-alanine,beta-Alanine,16958,1.0,Yes
