ChEBI,KEGG
17388,C03912
57834,
16797,C02918
72665,C14829
62622,
16810,C00026
18344,C01717
11805,C01188
17325,C03761
545959,C05582
57998,
29747,
48999,
27468,C00906
17368,C00262
72663,C14828
78705,
18262,C02679
29959,
17311,C03793
58263,
16552,C03145
16680,C00021
17489,C00575
16027,C00020
17509,C00170
15843,C00219
29016,C02385
29995,
62423,
36659,C03672
30851,C00166
16958,C00099
15727,C00386
17033,"C00500
chebi"
30031,
37054,
16113,C00187
18132,"C00588
chebi"
16827,C02140
16962,C00762
16737,C00791
4047,C01419
17376,C01420
16393,C00319
23614,
17755,C00542
16566,C00836
16238,"C00016
chebi"
29806,C00122
73705,C05282
24265,
30921,
15428,C00037
29746,C01921
16344,"C00581
chebi"
27570,C00768
17650,C00735
57853,
17596,C00294
17268,C00137
24898,
37024,
18211,
25017,C16439
25094,C16440
15595,C00711
16811,C01733
15756,C00249
17154,C00153
25629,C01530
18257,C01602
30839,
32372,
28044,C02057
18367,C00009
26271,C16435
24996,C01432
17310,C00250
17336,"C17276
chebi"
30762,C00805
17822,C00716
350546,
15891,C00245
30807,C06424
16199,"C00086
chebi"
16704,C00299
17771,
29987,
28300,C00303
26986,
27897,C00806
27266,C16436
17234,
30831,C00109
16335,C00212
17750,"C00719
chebi"
15356,C00736
37684,
17724,"C01026
chebi"
16449,"C01401
chebi"
18186,"C01536
chebi"
17802,C02067
15361,C00022
17568,C00106
17562,C00475
27732,C07481
28645,C02336
16708,"C00147
chebi"
16040,"C00380
chebi"
27689,C01571
74340,
78796,
32360,
17306,C00208
22653,C16438
144711,
30864,
17120,C01585
25646,
78795,
20392,
15676,C01551
17712,"C00385
chebi"
16010,
38184,
15611,C00213
16454,
30633,C00408
17553,C00346
16659,C00258
11892,
17786,C02710
132958,
21565,
32393,
16990,C00486
30660,
82969,
72782,
18145,C02477
40992,
27622,C05584
11951,C02946
18188,C03284
50744,
28797,C02261
17775,C00366
9907,C07880
71466,
73705,C05282
36242,C01179
48944,
73018,
21619,
17261,C04540
13705,C00164
57947,
133040,
17474,C02538
88670,
133032,
76724,
21891,
17754,C00116
15354,"C00114
chebi"
133038,
172453,
46195,C06804
82957,
2700,C11695
