,ChEBI,KEGG_ID
0,17388,
1,57834,
2,16797,
3,72665,
4,62622,
5,16810,
6,18344,C10927
7,11805,C01112
8,17325,
9,545959,
10,57998,
11,29747,
12,48999,
13,27468,C00314
14,17368,
15,72663,
16,78705,
17,18262,
18,29959,C10189
19,17311,
20,58263,
21,16552,
22,16680,
23,17489,C10691
24,16027,
25,17509,C08766
26,15843,C06657
27,29016,C10181
28,29995,C05122
29,62423,
30,36659,
31,30851,
32,16958,
33,15727,
34,17033,
35,30031,
36,37054,
37,16113,
38,18132,
39,16827,
40,16962,
41,16737,
42,4047,
43,17376,
44,16393,
45,23614,
46,17755,C09475
47,16566,
48,16238,
49,29806,
50,73705,
51,24265,C08042
52,30921,
53,15428,
54,29746,
55,16344,
56,27570,
57,17650,
58,57853,
59,17596,
60,17268,
61,24898,
62,37024,
63,18211,
64,25017,
65,25094,C03797
66,15595,C05466
67,16811,
68,15756,
69,17154,
70,25629,
71,18257,
72,30839,
73,32372,
74,28044,
75,18367,
76,26271,C00865
77,24996,C08703
78,17310,
79,17336,
80,30762,
81,17822,
82,350546,
83,15891,
84,30807,
85,16199,
86,16704,
87,17771,
88,29987,
89,28300,C10781
90,26986,
91,27897,
92,27266,
93,17234,
94,30831,
95,16335,
96,17750,
97,15356,
98,37684,
99,17724,
100,16449,
101,18186,
102,17802,
103,15361,
104,17568,C08378
105,17562,C09680
106,27732,
107,28645,
108,16708,
109,16040,
110,27689,
111,74340,
112,78796,
113,32360,
114,17306,
115,22653,
116,144711,
117,30864,
118,17120,
119,25646,
120,78795,
121,20392,
122,15676,
123,17712,C09682
124,16010,
125,38184,
126,15611,
127,16454,
128,30633,
129,17553,C08869
130,16659,
131,11892,
132,17786,C10457
133,132958,
134,21565,
135,32393,
136,16990,
137,30660,C10975
138,82969,
139,72782,
140,18145,
141,40992,
142,27622,
143,11951,
144,18188,C00637
145,50744,
146,28797,C03726
147,17775,
148,9907,
149,71466,
150,73705,
151,36242,
152,48944,
153,73018,
154,21619,
155,17261,
156,13705,
157,57947,
158,133040,
159,17474,C01812
160,88670,
161,133032,
162,76724,
163,21891,
164,17754,
165,15354,
166,133038,
167,172453,
168,46195,
169,82957,
170,2700,C02784
171,75623,
172,72959,
173,72838,
174,73002,
175,83358,
176,73001,
177,36252,
178,9407,
179,36257,
180,36261,
181,132923,
182,133435,
183,32635,
184,61330,
185,132961,
186,741548,
187,39547,
188,16150,
189,51057,
190,606565,
191,71201,
192,132953,
193,28654,C00019
194,45764,
195,27596,
196,90146,
197,60175,
198,57486,
199,24297,
200,15978,
201,27487,
202,16946,
203,16870,
204,27931,C01612
205,73685,
206,16543,
207,132950,
208,18107,
209,15963,
210,82982,
211,28177,
212,29751,C07770
213,28946,
214,25858,C00012
215,17282,
216,43355,
217,82966,
218,17865,C01326
219,16070,
220,64496,
221,133606,
222,37550,
223,75034,
224,74243,
225,72999,
226,28125,
227,75062,
228,133577,
229,30780,
230,133225,
231,133514,
232,39150,
233,133511,
234,8100,
235,17490,
236,70749,
237,21547,
238,16814,
239,57589,
240,27891,
241,69081,
242,24711,
243,30623,
244,17113,
245,32111,
246,84197,
247,24786,
248,75342,
249,11851,
250,27747,
251,58148,
252,88956,
253,75457,
254,132979,
255,4735,C03589
256,40410,
257,17773,
258,57561,
259,12931,C10659
260,16411,
261,75568,
262,27596,
263,7676,C01474
264,73017,C01550
265,16390,
266,60008,
267,131647,
268,82916,
269,82912,
270,18123,C03277
271,76273,
272,21306,
273,68561,
274,68447,
275,62207,
276,36206,
277,132948,
278,68848,
279,132991,
280,132935,
281,132985,
282,89836,
283,28867,C11740
284,133733,
285,82955,
286,194524,
287,65136,
288,145970,
289,77225,
290,35045,
291,32370,
292,27850,
293,1606,C04361
294,132954,
295,77222,
296,86595,
297,73039,
298,133064,
299,68830,
300,73685,
301,70976,C04281
302,21626,
303,88494,
304,72998,
305,74340,
306,40521,
307,28821,
308,28623,
309,84634,
310,45826,
311,84056,
312,83051,
313,75094,
314,133729,
315,86910,C12476
316,73845,
317,133028,
318,35280,
319,64669,
320,133690,
321,82968,
322,133670,
323,133792,
324,133026,
325,78075,
326,15708,
327,74968,
328,84644,
329,77086,
330,73025,
331,28733,
332,48991,
333,691622,
334,68531,
335,68449,
336,32643,
337,80473,
338,68443,
339,19065,C01720
340,19289,
341,70989,
342,21440,
343,25722,
344,8087,C08327
345,133613,
346,23774,
347,19928,C08823
348,34071,
349,143243,
350,45996,
351,70984,
352,2274,C06201
353,20129,C07072
354,27410,C07389
355,68434,
356,72689,
357,84840,
358,27905,
359,133515,
360,73028,
361,64390,
362,28300,C10781
363,89228,
364,5757,C03848
365,86256,
366,83055,
367,76079,
368,131986,
369,73004,C06102
370,83058,
371,36555,
372,65097,
373,65136,
374,13115,C04586
375,70979,
376,73040,
377,133076,
378,85520,
379,71062,
380,68505,
381,83036,
382,76931,
383,76281,
384,76276,
385,75562,
386,16929,
387,57277,
388,27592,
389,132926,
390,133065,
391,72833,
392,9347,
393,17864,
394,16244,
395,133523,
396,142407,
397,73531,
398,70811,
399,64390,
400,17752,
401,88670,
402,29864,C00087
403,5832,
404,82931,
405,82932,
406,133663,
407,59973,
408,83058,
409,78762,
410,133077,
411,82942,
412,82944,
413,133005,
414,133089,
415,133775,
416,50621,
417,45441,
418,75038,
419,133096,
420,74965,
421,73008,
422,57939,
423,72961,
424,73034,
425,132996,
426,90344,
427,10362,
428,133114,
429,133118,
430,166730,
431,166739,
432,133123,
433,132994,
434,133123,
435,133695,
436,133105,
437,133712,
438,133118,
439,133119,
440,133100,
441,133105,
442,133111,
443,133105,
444,133715,
445,133715,
446,133714,
447,133714,
448,133432,
449,133734,
