UniProt,KEGG
O00182,3965
O00220,8797
O00253,181
O14763,8795
O14836,23495
O43915,2277
O94907,22943
P00797,5972
P01127,5155
P01241,2688
P01730,920
P01833,5284
P02760,259
P04179,6648
P04792,3315
P05231,3569
P06858,4023
P07204,7056
P07585,1634
P07711,1514
P09237,4316
P09341,2919
P09601,3162
P09874,142
P10147,6348
P12104,2169
P12931,6714
P13726,2152
P16860,4879
P18510,3557
P19883,10468
P21583,4254
P21980,7052
P22004,654
P24394,3566
P25116,2149
P26022,5806
P27352,2694
P29965,959
P31994,2213
P31997,1088
P35218,763
P35318,133
P35442,7058
P35475,3425
P39900,4321
P40225,7066
P41159,3952
P47992,6375
P49763,5228
P51161,2172
P51888,5549
P78380,4973
Q02763,7010
Q04760,2739
Q12866,10461
Q13043,6789
Q13219,5069
Q14005,3603
Q14116,3606
Q14242,6404
Q15109,177
Q15389,284
Q16651,5652
Q16698,1666
Q76LX8,11093
Q8IW75,145264
Q8IYS5,126014
"Q8NEV9,Q14213",
Q8TAD2,53342
Q92583,6361
Q96D42,26762
Q96IQ7,23584
Q99075,1839
Q99523,6272
Q99895,11330
Q9BQ51,80380
Q9BQR3,83886
Q9BUD6,10417
Q9BWV1,91653
Q9BYF1,59272
Q9GZV9,8074
Q9HB29,8808
Q9NQ25,57823
Q9NSA1,26291
Q9UEW3,8685
Q9UIB8,8832
Q9UJM8,54363
Q9UK05,2658
Q9UKP3,26548
Q9Y6K9,8517
Q9Y6Q6,8792
O00300,4982
O14625,6373
O14788,8600
O15169,8312
O15444,6370
O43508,"407977
up"
O43557,8740
O95630,10617
O95750,9965
O95760,90865
P00749,5328
P00813,100
P01135,7039
P01137,7040
P01138,4803
P01374,4049
P01375,7124
P01579,3458
P01583,3552
P01732,925
P02778,3627
P03956,4312
P05112,3565
P05113,3567
"interleukin 6 (interferon, beta 2).1",
P06127,921
P09238,4319
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha).1",
P09603,1435
P10145,3576
chemokine (C-C motif) ligand 3.1,
P13232,3574
P13236,"388372
up"
P13500,6347
P13725,5008
P14210,3082
P14784,3560
P15018,3976
P15692,7422
P20783,4908
KIT ligand.1,
P22301,3586
P25942,958
P28325,1473
P29460,3593
P35225,3596
P39905,2668
P42702,3977
P42830,6374
P49771,2323
P50225,6817
P50591,8743
P51671,6356
P55773,6368
P60568,3558
P78423,6376
P78556,6364
P80075,6355
P80098,6354
P80162,6372
P80511,6283
Q07011,3604
Q07325,4283
Q08334,3588
Q13007,11009
Q13261,3601
Q13291,6504
Q13478,8809
Q13541,1978
Q13651,3587
interleukin 18 (interferon-gamma-inducing factor).1,
Q14790,841
Q16552,3605
Q5T4W7,9048
Q8IXJ6,22933
Q8N6P7,58985
Q8NFT8,92737
Q969D9,85480
Q99616,6357
Q99731,6363
Q99748,4902
Q9BZW8,51744
fibroblast growth factor 23.1,
Q9H5V8,64866
Q9NRJ3,56477
fibroblast growth factor 21.1,
Q9NYY1,50604
Q9NZQ7,29126
Q9P0M4,27189
Q9UHF4,53832
O00273,1676
O14867,571
O43597,10253
O43736,9452
O60449,"100526664
up"
O60880,4068
O75475,11168
O76036,9437
O94992,10614
O95786,23586
"interleukin 5 (colony-stimulating factor, eosinophil).1",
"interleukin 6 (interferon, beta 2).2",
P05412,3725
P08727,3880
P09038,2247
P10747,940
P14317,3059
P15514,374
P16278,2720
P16455,4255
P18564,3694
P18627,3902
P19474,6737
interleukin 10.1,
P23229,3655
P27540,405
P28845,3290
P30044,25824
P30048,10935
P34130,4909
P35240,4771
P42701,3594
P48061,6387
P48740,5648
P50135,3176
P51617,3654
chemokine (C-C motif) ligand 11.1,
P52294,3836
P52823,6781
P58499,54097
P63241,1984
P78310,1525
P78362,6733
P78410,11118
Q00978,10379
Q01151,9308
Q03431,5745
Q04637,1981
Q04759,5588
Q05084,3382
Q05516,7704
Q06830,5052
Q07065,10970
Q12933,7186
Q12968,4775
Q13241,3824
Q13490,329
Q13574,8525
Q14203,1639
Q14435,2591
Q15517,1041
Q15661,7177
Q6DN72,343413
Q6EIG7,93978
Q6UXB4,339390
Q6ZUJ8,118788
Q7Z6M3,284021
Q8IU57,163702
Q8N608,57628
Q8NHJ6,11006
Q8WTT0,170482
Q8WXI8,338339
Q92844,10010
Q96DB9,53827
Q96P31,115352
Q96PD2,131566
Q96SB3,84687
Q9BXN2,64581
Q9C035,85363
Q9GZT9,54583
Q9HCM2,91584
Q9NP99,54210
Q9NWZ3,51135
Q9UHC6,26047
Q9UKX5,22801
Q9UMR7,50856
Q9UN19,27071
Q9UNE0,10913
Q9UQQ2,10019
Q9UQV4,27074
Q9Y2J8,11240
Q9Y3P8,27240
A6NI73,353514
O00161,8773
O15123,285
O43240,5655
O43827,10218
O75356,957
O75791,9402
O95502,23467
O95544,65220
O95841,9068
P00352,216
P01222,7252
P05089,383
P09104,2026
P09417,5860
P09467,2203
P09525,307
P09668,1512
P12724,6037
P13611,1462
P16083,4835
P19022,1000
P19971,1890
P20711,1644
P21964,1312
P22466,51083
P23526,191
P25815,6286
P26010,3695
P27695,328
P29017,911
P31431,6385
P35237,5269
P35754,2745
P40259,974
P40818,9101
P41236,5504
P43234,1519
P46109,1399
P46379,7917
P50452,5271
P50995,311
P51693,333
P51858,3068
P52888,7064
P98082,1601
Q01973,4919
Q02790,2288
Q03403,7032
Q04900,8763
Q06418,7301
Q13275,6405
Q15155,23420
Q15846,27098
Q16773,883
Q16820,4225
Q641Q3,284207
Q6UWV6,339221
Q6WN34,25884
Q76M96,151887
Q86VZ4,84918
Q8IZP9,10149
Q8N1Q1,377677
Q8NBJ7,25870
Q8NBS9,81567
Q8NI22,90411
Q8WTU2,136853
Q8WVQ1,124583
Q8WX77,347252
Q92520,10447
Q92692,5819
Q96JA1,26018
Q96LA6,115350
Q9BQB4,50964
Q9BYZ8,83998
Q9BZR6,65078
Q9GZM7,64129
Q9H4D0,64084
Q9H6B4,79827
Q9HBB8,53841
Q9NPH0,51205
Q9NQX5,56654
Q9NR28,56616
Q9NWQ8,55824
Q9NY25,23601
Q9UBU3,51738
Q9UHL4,29952
Q9UHX3,30817
Q9UKJ0,29990
Q9Y286,27036
Q9Y5K6,23607
O00186,6814
O00748,8824
O14713,9270
O15357,3636
O43570,771
O43854,10085
O60240,5346
O60760,27306
O60934,4683
O75354,955
O75569,8575
O75688,5495
O75787,10159
O95831,9131
O95994,10551
P01229,3972
P01258,796
P01588,2056
P06850,1392
P07332,2242
P07947,7525
P09769,2268
P09960,4048
P19429,7137
P19878,4688
P20472,5816
P20936,5921
P21246,5764
P23582,4880
P25786,5682
P27797,811
P29474,4846
P30838,218
P35070,685
P40121,822
P42658,1804
P42768,7454
P48730,1453
P49023,5829
P49788,5918
P50749,9770
P53539,2354
P53582,23173
P55957,637
P61244,4149
P68106,2281
P80303,4925
P98073,5651
Q02246,6900
Q02880,7155
Q03426,4598
Q07954,4035
Q0Z7S8,646480
Q11201,6482
Q12778,2308
Q12913,5795
Q13145,25805
Q13308,5754
Q15116,5133
Q15165,5445
Q15797,4086
Q7L5Y9,10296
Q7L8A9,22846
Q7LG56,50484
Q86SJ6,147409
Q86SR1,55568
Q86WD7,327657
Q8IUK5,57125
Q8N8S7,55740
Q8NC01,51267
Q8NDB2,55024
hepatitis A virus cellular receptor 1.1,
Q96RT1,55914
Q9BXJ7,81693
Q9GZY6,7462
Q9HAW4,63967
Q9NQ88,57103
Q9NRA1,56034
Q9NXA8,23408
Q9P0J1,54704
Q9UHF1,51162
Q9UKL0,23186
Q9ULX7,23632
Q9UNK0,9482
Q9Y478,5564
Q9Y4K4,11183
Q9Y5A7,51667
Q9Y5L3,954
Q9Y5V3,9500
Q9Y653,9289
